일련번호,모텔_민박 명칭,전화번호,주소,지역,위도,경도
30,온천여관,,경상북도 영천시 역전로 16 (완산동),시내권,35.96235720,128.93518916
31,썬비치모텔,054-336-3000,경상북도 영천시 금호읍 금호로 368 (63.64번지),금호읍,35.94092534,128.89970851
32,황수장여관,054-336-2639,경상북도 영천시 고경면 용담로 1379-3,고경면,35.92691351,129.11529302
33,보문장여관,054-331-2522,경상북도 영천시 완산중앙1길 20-8 (완산동),시내권,35.96282880,128.93571911
34,프린스모텔,,경상북도 영천시 시청남1길 12-5 (문외동),시내권,35.97194596,128.93925952
35,능금장모탤,054-337-6999,경상북도 영천시 시청남1길 15 (문외동),시내권,35.97169031,128.93885041
36,초원모텔,054-331-3171,경상북도 영천시 삼산길 10 (문외동),시내권,35.97145542,128.93777294
37,나이스모텔,054-332-9400,경상북도 영천시 삼산길 6 (문외동),시내권,35.97124668,128.93794483
38,그랜드모텔,,경상북도 영천시 영천아이시로 102 (봉동),시내권,35.93036015,128.94731206
39,일생장여관,054-332-6707,경상북도 영천시 시청로 15 (문외동),시내권,35.97194260,128.93796831
40,강변모텔,054-333-8004,경상북도 영천시 조양공원길 27-5 (창구동),시내권,35.96644852,128.93220640
41,이오모텔,054-333-7475,경상북도 영천시 교창길 21-4 (과전동),시내권,35.96713414,128.92985170
42,청우장여관,054-331-8763,경상북도 영천시 삼산길 8 (문외동),시내권,35.97134746,128.93786858
43,은해산장,054-335-0360,경상북도 영천시 청통면 대동로 341-23,청통면,35.98557071,128.79965735
44,청룡장여관,,경상북도 영천시 고경면 호국로 1736-30,고경면,35.98613365,129.11065861
45,영원모텔,,경상북도 영천시 고경면 심곡로 865,고경면,35.93948136,129.10408882
46,뷰모텔,,경상북도 영천시 고경면 용담로 1393-9,고경면,35.92842846,129.11301372
47,큐피트모텔,054-337-6222,경상북도 영천시 화남면 구전로 7,화남면,36.07488824,128.90513771
48,팔공여관,,경상북도 영천시 신녕면 장수로 1755 (760-1번지),신녕면,36.04818366,128.78608496
49,자자,054-333-8500,경상북도 영천시 청통면 청통로 698-6,청통면,,
50,대평산장여관,054-334-6888,경상북도 영천시 청통면 사일로 268,청통면,35.95686305,128.86500713
51,은하여관,054-335-4870,경상북도 영천시 청통면 계포1길 9,청통면,35.99527282,128.81131135
52,스타모텔,,경상북도 영천시 임고면 맘실길 28,임고면,,
53,새코리아나모텔,054-335-4657,경상북도 영천시 화남면 천문로 1914,화남면,36.08331594,128.90983962
54,프린스산장,,경상북도 영천시 청통면 대동로 315-10,청통면,35.98478473,128.79883300
55,왕산장여관,054-332-5073,경상북도 영천시 신녕면 치산효령로 274,신녕면,36.05466492,128.76315687
56,현대장여관,054-336-8026,경상북도 영천시 고경면 용담로 2070,고경면,35.98233200,129.10582393
57,잠 모텔,0507-1387-2968,경상북도 영천시 청통면 청통로 780 (400-6번지),청통면,,
58,파라다이스모텔,054-335-2305,경상북도 영천시 고경면 상리공단길 11,고경면,36.00320292,129.02951440
59,동림여관,,경상북도 영천시 고경면 용담로 1908,고경면,35.96960761,129.11224612
60,드림모텔,054-337-8787,경상북도 영천시 금호읍 금호로 502,금호읍,35.95080377,128.90699560
61,세바장,054-333-5008,경상북도 영천시 금완로 87-1 (완산동),시내권,35.96036822,128.93811656
62,파라다이스여관,,경상북도 영천시 북안면 운북로 2095,북안면,35.92241223,129.00364925
63,여인천하모텔,054-332-8005,경상북도 영천시 옛군청1길 17 (창구동),시내권,35.96801286,128.93171592
64,탑모텔,,경상북도 영천시 완산중앙7길 13 (완산동),시내권,35.96147122,128.93804941
65,원모텔,,"경상북도 영천시 옛군청1길 11-3 (창구동,90-36)",시내권,35.96768805,128.93132457
66,늘푸른장,054-333-4801,경상북도 영천시 완산중앙1길 20-5 (완산동),시내권,35.96277007,128.93599876
67,세림장,,경상북도 영천시 임고면 신방로 63,임고면,36.05842389,129.01592440
68,서광모텔,054-336-3300,경상북도 영천시 금호읍 금호로 220,금호읍,35.93464638,128.88513922
69,파크여관,054-331-2389,경상북도 영천시 창대서원1길 9-34 (과전동),시내권,35.96619226,128.93127993
70,드라마모텔,054-338-7791,경상북도 영천시 강변로 50-38 (금노동),시내권,35.95998057,128.92814382
71,하얏트모텔,054-335-7858,경상북도 영천시 금완로 78 (완산동),시내권,35.96006683,128.93688381
72,일마레모텔,054-331-9953,경상북도 영천시 옛군청2길 10 (문내동),시내권,35.96846715,128.93113070
73,라임,054-337-1501,경상북도 영천시 금호읍 금호로 496,금호읍,35.95036163,128.90631127
74,삼오장여관,054-332-9080,경상북도 영천시 시장2길 17 (완산동),시내권,35.96418964,128.93700253
75,필모텔,,경상북도 영천시 문화원길 14 (문내동),시내권,35.96774648,128.93327122
76,코리아나모텔,054-337-4720,경상북도 영천시 청통면 청통로 124,청통면,35.99366230,128.87603657
77,블루캐슬,054-333-5004,경상북도 영천시 금완로 77 (완산동),시내권,35.96051028,128.93697907
78,미도모텔,054-332-0240,경상북도 영천시 옛군청1길 15 (창구동),시내권,35.96783769,128.93172983
79,허니문모텔,054-336-2264,경상북도 영천시 고경면 호국로 620 (3-5층),고경면,35.99095455,129.00166028
80,소풍,054-338-6789,경상북도 영천시 금완로 82 (완산동),시내권,35.95993784,128.93727968
81,무림장여관,054-334-3055,경상북도 영천시 강변로 57 (금노동),시내권,35.96138718,128.92875755
82,카라모텔,054-337-3082,경상북도 영천시 오수5길 80 (오수동),시내권,35.95492514,128.91900270
83,에스모텔,,경상북도 영천시 북안면 운북로 1932,북안면,35.90990657,129.01031013
84,엠텔,054-337-7339,"경상북도 영천시 송죽길 115 (도동,,128-10)",시내권,35.94030927,128.93547460
85,뉴시크릿모텔,054-335-3367,경상북도 영천시 최무선로 259 (성내동),시내권,35.96571770,128.92839145
86,시크릿모텔,,경상북도 영천시 최무선로 259 (성내동),시내권,35.96571770,128.92839145
87,예스모텔,054-338-0555,경상북도 영천시 완산중앙8길 14 (완산동),시내권,35.96170643,128.93797149
88,별무인모텔,054-337-1944,경상북도 영천시 청통면 애련길 28-21,청통면,35.99838013,128.81728101
89,쇼모텔,054-334-1000,경상북도 영천시 역전로 42-1,시내권,35.96083690,128.93752776
90,궁모텔,054-332-5001,경상북도 영천시 금호읍 금호로 66-1 (66-3),금호읍,35.93016143,128.86929047
91,카라,054-338-3338,경상북도 영천시 청통면 계포1길 15-1,청통면,35.99573552,128.81167512
92,펠리체모텔,054-332-4500,경상북도 영천시 청통면 한티길 330,청통면,35.96567994,128.85044923
93,꽃보다무인텔,054-927-0007,경상북도 영천시 금완로 6 (금노동),시내권,35.96033194,128.92876887
94,칸모텔,054-334-0000,경상북도 영천시 역전로 42-2 (완산동),시내권,35.96074682,128.93771755
95,본모텔,,경상북도 영천시 최무선로 293 (창구동),시내권,35.96724367,128.93155635
96,썸모텔,054-337-1111,경상북도 영천시 오수1길 44 (오수동),시내권,35.95847895,128.91699661
97,장원 모텔,,경상북도 영천시 청통면 계포1길 15,청통면,35.99565278,128.81178177
98,몽 모텔,054-332-3800,영천시 고경면 용담로 1379-3,고경면,35.92691351,129.11529302
99,케이모텔,,영천시 고경면 용담로 1393-9,고경면,35.92842846,129.11301372
100,제이모텔,054-334-3342,영천시 금완로 83-1,시내권,35.96037674,128.93759459
101,에코모텔,054-927-2200,영천시 금호읍 금호로 368,금호읍,35.94092534,128.89970851
102,더자라 모텔,054-336-6266,영천시 북안면 운북로 1932,북안면,35.90990657,129.01031013
103,젠 모텔,054-336-2167,영천시 영천아이시로 102,시내권,35.93036015,128.94731206
104,킹호텔,,영천시 옛군청4길 14-4,시내권,35.96829370,128.93166584
105,리버무인텔,054-338-9400,영천시 유봉길 22,시내권,35.95729440,128.91847118
106,나인틴스호텔,054-331-0019,영천시 임고면 맘실길 30,임고면,36.00501395,128.96884969
107,욜로모텔,054-335-1313,영천시 청통면 계포1길 44,청통면,35.99646227,128.81444306
108,한울무인 모텔,,영천시 청통면 한티길 199,청통면,35.97143110,128.83901404
109,디데이 호텔,054-335-3367,경상북도 영천시 최무선로 259,시내권,35.96571770,128.92839145
110,포시즌모텔,054-927-0111,경상북도 영천시 최무선로 293,시내권,35.96724367,128.93155635
