순번,상호,소재지,전화번호,위도,경도
77,씨유영천동부강변점,경상북도 영천시 영천고1길 44(야사동),,35.97135936,128.94444486
78,씨유영천망정원룸점,경상북도 영천시 창신길 118(망정동),,35.98861570,128.95627637
79,지에스25 영천이편한점,"경상북도 영천시 완산9길 16, 상가동 109호 (완산동, e편한세상 센텀스타시티 영천 2블럭)",,35.96196001,128.94455250
80,씨유영천완산별빛점,"경상북도 영천시 통운길 2(완산동, 동부품안애)",,35.96158390,128.93613354
81,지에스25영천휴플러스점,"경상북도 영천시 망정1길 171, 상가동 102호 (야사동, 한신THE휴영천퍼스트)",,35.98262206,128.95108093
82,지에스25 영천문화점,경상북도 영천시 동부로  31-6,,35.97313756,128.94833975
83,씨유 영천코아루점,"경상북도 영천시 창신1길 42, 301동 1호 (망정동, 인터불고코아루아파트)",,35.98952662,128.95510228
84,CU 영남대 영천병원점,"경상북도 영천시 오수1길 5, A동 1층 (오수동)",,35.95832198,128.91297173
85,다바다솔루션,"경상북도 영천시 망정1길 171, 103동 801호 (야사동, 한신THE휴영천퍼스트)",,35.98122109,128.95106273
86,라온 메디컬,경상북도 영천시 임고면 승마휴양림길 22-2,,36.02673453,128.99679430
87,별빛문고. 종합교재사,"경상북도 영천시 최무선로 281-1, 1층 (과전동)",,35.96660644,128.93062023
88,세븐일레븐 영천창신점,경상북도 영천시 언하공단로 98 (망정동),,35.98612404,128.95290507
89,세븐일레븐 영천동길점,경상북도 영천시 신녕면 치산관광길 5,054-334-8842,36.06370635,128.73025590
90,세븐일레븐 영천윤성점,경상북도 영천시 금호읍 원제2길 14,,35.94231875,128.89930063
91,영천옥산,경상북도 영천시 금완로 46 (완산동),,35.96016165,128.93332019
92,3H지압침대 영천센터,"경상북도 영천시 시장로 68-2, 2층 (완산동)",,35.96328464,128.93780985
93,지앤미에스테틱,경상북도 영천시 야사2길 14(야사동),,35.97496239,128.94735113
94,디오가구,경상북도 영천시 천문로 134 (금노동),054-338-8485,35.95034109,128.93055976
95,이오테크,"경상북도 영천시 영화새싹길 1-3, 102호 (교촌동)",,35.96411417,128.92350604
96,(주)옥천당 영천지점,경상북도 영천시 임고면 황강공단길 15,,36.02832551,128.99786773
97,백석이앤아이(주),"경상북도 영천시 금호읍 대구대길 333, 대구대학교 창업보육센터2호관 2층 1207호",,35.89973834,128.85687600
98,주식회사 누리숲,경상북도 영천시 금호읍 금호시장길 10-2,,35.93272762,128.87680819
99,효도의료기,경상북도 영천시 완산로 116 (문외동),,35.97058328,128.93900341
100,영천의료기,경상북도 영천시 호국로 85 (야사동),,35.97470789,128.94663152
101,뉴드림메디칼,경상북도 영천시 청통면 신학길 23,,35.99634363,128.82773039
102,SM,"경상북도 영천시 망정로 20, 2층 (망정동)",,35.97825645,128.95371920
103,독일디지털보청기 시장점,경상북도 영천시 시장로 76-1 (완산동),,35.96327873,128.93863611
104,김정문알로에열린영천지사,경상북도 영천시 시장1길 5(완산동),,35.96379983,128.93563124
105,복음보청기,"경상북도 영천시 시청동길 8 (문외동, 영진궁전빌라)",,35.97243659,128.94067926
106,독일디지털보청기,경상북도 영천시 천문로 277 (금노동),,35.96302734,128.93371326
107,A+ 샛별노인복지센터,경상북도 영천시 동문1길 26 (문내동),,35.96901273,128.93397613
108,영천의료기 보청기 상사,경상북도 영천시 시장로 60-1 (완산동),,35.96323229,128.93683665
109,삼성교재사,경상북도 영천시 천문로 321 (과전동),054-333-5272,35.96643748,128.93139614
110,조은소리독일보청기 신녕점,경상북도 영천시 신녕면 장수로 1719-4,054-332-0110,36.04541003,128.78705810
111,영양칠보석의료기,경상북도 영천시 조흔달길 22-7 (조교동),,35.97639374,128.96146176
112,한국의료기 복지용구사업소,경상북도 영천시 최무선로 183-6 (화룡동),054-332-1012,35.96318144,128.92118098
113,현대오토,경상북도 영천시 최무선로 347 (문외동),054-334-4609,35.97000570,128.93652778
114,스타키보청기 영천점,경상북도 영천시 완산로 52 (완산동),054-336-7599,35.96481857,128.93923638
115,GS25영천타운점,경상북도 영천시 중앙동3길 36 (문외동),054-336-2322,35.97442032,128.93249469
116,영천(상)휴게소 하이샵,"경상북도 영천시 임고면 운주로 791, 영천(익산방향)주유소",,36.05336593,129.04274639
117,심청이 의료기,경상북도 영천시 중앙동1길 44 (문외동),,35.97381070,128.93371734
118,아누바이오,경상북도 영천시 호국로 34-11 (야사동),,35.97225537,128.94217696
119,(주)아성다이소 영천시청점,경상북도 영천시 충효로 56 (문외동),054-335-6017,35.97220435,128.93594151
120,cu영천역점,경상북도 영천시 완산로 5 (완산동),054-332-1538,35.96054998,128.93895335
121,(주)트라이얼 코리아 영천점,경상북도 영천시 장천길 13 (조교동),054-338-3792,35.97038132,128.95183019
122,GS25 영천청솔점,"경상북도 영천시 청솔길 23-6 (망정동, 청솔아파트)",054-333-1982,35.98893064,128.95525124
123,CU영천경제자유구역점,경상북도 영천시 영천산단로 349 (채신동),054-338-1532,35.91500699,128.94830840
124,동산메디칼,경상북도 영천시 중앙동1길 105 (문내동),054-334-5080,35.97484256,128.93135710
125,보은보청기,경상북도 영천시 시장로 48 (완산동),054-334-0200,35.96319574,128.93539670
126,(주)에코플러스,경상북도 영천시 완산로 56 (완산동),,35.96510247,128.93920147
127,영천(하)휴게소 하이샵,경상북도 영천시 임고면 운주로 777,054-338-0062,36.05108684,129.04336049
128,독일보청기,경상북도 영천시 시장로 74(완산동),054-334-2328,35.96331783,128.93829417
129,(주)이스턴메디칼,경상북도 영천시 대창면 한제길 67-59,054-331-8506,35.88223930,128.86722546
130,LG전자 베스트샵 영천점,경상북도 영천시 완산로 56 (완산동),054-333-8019,35.96510247,128.93920147
131,경북메디칼,경상북도 영천시 상록2길 6 (야사동),,35.97334362,128.94329756
132,영천중앙 아가방,경상북도 영천시 시장로 69 (완산동),054-334-2906,35.96365914,128.93806206
133,(주)이마트 영천점,경상북도 영천시 최무선로 83 (오수동),054-330-1234,35.95821768,128.91003152
134,현대의료기,경상북도 영천시 모란2길 38 (야사동),054-334-9986,35.97590303,128.94218436
135,(주)에스원 영천,경상북도 영천시 역전로 7 (완산동),054-338-3112,35.96305586,128.93480321
136,롯데하이마트(주),경상북도 영천시 완산로 62 (완산동),054-337-0111,35.96563094,128.93927811
137,영대의료기,경상북도 영천시 오수1길 8 (오수동),054-331-5562,35.95791909,128.91280517
138,영천고려수지침의료기기,경상북도 영천시 호연정길 33 (성내동),054-332-9860,35.96415908,128.92744761
139,맥섬석지.엠(주),경상북도 영천시 대창면 한제길 44,054-336-9900,35.88081276,128.87265062
140,복음의료기양행,경상북도 영천시 완산로 40 (완산동),054-333-1177,35.96371250,128.93926217
