순번,단지명,회사명,대표자명,공장대표주소(지번),대표업종번호,업종명,전화번호,생산품,용지면적,건축면적,위도,경도
34,,(주)금강,"김윤○,양한○",경상북도 영천시 임고면 매호리 917-1번지 외 1필지,30310,자동차 엔진용 신품 부품 제조업 외 1 종,054-335-0666,자동차부품(엔진),1653,746.08,36.00954365,128.96152044
35,,(주)금강공업,윤재○,경상북도 영천시 청통면 송천리 645-10,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업",053-354-3411,섬유기계 (방사기),,1755.8,35.98174450,128.81222942
36,,(주)금강알씨,김대○,경상북도 영천시 화남면 삼창리 662번지,23211,정형 내화 요업제품 제조업 외 1 종,054-336-4901,내화벽돌,1616.05,1616.05,36.07545355,128.89157546
37,영천본촌농공단지,(주)금창,송재○,경상북도 영천시 본촌동 447번지,30320,자동차 차체용 신품 부품 제조업 외 2 종,054-338-5000,"차체의장부분, 차체의장부분, 태양광발전(용량 185.42kW)",11336.9,8440.6,35.91830197,128.95182222
38,,(주)금창채신공장,송재○,경상북도 영천시 채신동 609번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,054-338-5000,자동차부품,7917,4517,35.91389855,128.95150222
39,영천고경농공단지,(주)기백산업안전,허종○,경상북도 영천시 고경면 상리리 600-7,13922,어망 및 기타 끈 가공품 제조업,,"안전망, 추락방지망",1251.74,899.74,36.00537690,129.02925651
40,영천고경농공단지,(주)기백산업안전,허종○,경상북도 영천시 고경면 상리리 600,13922,어망 및 기타 끈 가공품 제조업,,"추락방지망, 안전망",493,493,36.00522464,129.02818966
41,,(주)기정테크,김기○,경상북도 영천시 임고면 선원리 709-4번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,054-337-1661,철판브라켓류,12400,2672.6,36.04938524,128.96733151
42,,(주)길번,김성○,경상북도 영천시 언하동 474,10891,커피 가공업 외 1 종,070-8831-9811,"볶은 커피, 액상 커피",,68.2,35.98816222,128.95977990
43,,(주)나라산업,장용○,경상북도 영천시 대창면 대창리 134번지 외 4필지,13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",054-0336-4038,TARPAULIN,7496,2680.2,35.88773403,128.89100831
44,,(주)나현,장병○,경상북도 영천시 금호읍 신대리 737-81,22241,운송장비 조립용 플라스틱제품 제조업,053-817-9916,자동차부품(플라스틱),5037,1966.5,35.91221991,128.85689499
45,,(주)남경,김동○,경상북도 영천시 금호읍 삼호리 132번지,13104,연사 및 가공사 제조업,,폴리에스터 제직 BEAM,1498,659.7,35.91274014,128.87874379
46,,(주)남이제약,김광○,경상북도 영천시 화남면 신호리 341-1번지,21220,한의약품 제조업 외 2 종,054-337-2666,"한의약 재료, 중탕엑기스, 혼합 식품환",1916,467.4,36.03678585,128.93808328
47,,(주)네오코퍼레이션,서상○,경상북도 영천시 대창면 사리리 282-2,29299,그 외 기타 특수목적용 기계 제조업,054-331-3313,자동차부품 용접용 로봇자동화기계,3200,1060.5,35.87735078,128.87369457
48,,(주)네오필드,김용○,경상북도 영천시 화남면 귀호리 529번지 외 1필지,22299,그 외 기타 플라스틱 제품 제조업,070-4235-3505,인조잔디,,534.3,36.05447568,128.87727559
49,,(주)네츄럴라이프,정민○,경상북도 영천시 청통면 계지리 287-10 외 1필지,23323,플라스터 혼합제품 제조업,054-337-3233,"친환경에코보드,액자,소품 등",5019,1653.61,36.00415530,128.82597015
50,,(주)농업회사법인케이푸드,이은○,경상북도 영천시 화산면 연계리 496-1,10122,육류 포장육 및 냉동육 가공업 (가금류 제외),,황제유황돼지 부분육,2170,1498.56,36.02866642,128.84119572
51,,(주)뉴라이프,배석○,경상북도 영천시 북안면 유하리 74-3번지,22299,그 외 기타 플라스틱 제품 제조업,054-336-0001,"도마, 행가외",5322,2284.2,35.93415643,128.97618101
52,,(주)늘푸른스마트테크,김대○,경상북도 영천시 대창면 대창리 892-14,10121,가금류 가공 및 저장 처리업 외 3 종,,"삶은 닭, 오리, 돼지고기, 김치볶음소스, 김치찌게(밀키트)",1322,448.5,35.87698155,128.88709164
53,,(주)다물인터내셔널,정국○,경상북도 영천시 청통면 송천리 479-14번지,22223,플라스틱 창호 제조업,,플라스틱 창호,1653,504,35.97056920,128.81923297
54,,(주)다산디엠씨영천1공장,"김장○,남윤○",경상북도 영천시 언하동  413번지 외 1필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,070-4946-7300,"자동차고무부품, 자동차고무부품, 자동차고무부품, 자동차고무부품",24110,13078.47,35.98940540,128.95966726
55,,(주)다소니푸드,민병○,경상북도 영천시 고경면 용전리 1320 외 3필지,10129,육류 기타 가공 및 저장처리업 (가금류 제외),054-337-7967,양념육,3455,2469.23,35.98829535,129.02234355
56,,(주)다온기술,배영○,경상북도 영천시 고경면 용전리 382번지,22241,운송장비 조립용 플라스틱제품 제조업,,자동차부품용 플라스틱 사출품,2787.59,1035.9,35.98383700,129.00359248
57,,(주)다우텍스,조응○,경상북도 영천시 망정동 8-7번지,13300,편조원단 제조업,054-336-8891,편직 제직물,6205,2143.14,35.98625229,128.95852995
58,,(주)다이아텍,김덕○,경상북도 영천시 대창면 사리리 520-4번지 외 1필지,32091,금속 가구 제조업 외 1 종,,"진열집기,냉동냉장쇼케이스",1998,590.4,35.88162817,128.86488016
59,,(주)다이엑스,김순○,경상북도 영천시 북안면 자포리 27 외 2필지,24212,"알루미늄 제련, 정련 및 합금 제조업",054-331-2288,알루미늄 빌렛,8852,3352.03,35.93118852,129.02858561
60,,(주)다인피에스피,전재○,경상북도 영천시 화산면 연계리 556-2번지 외 2필지,17909,그 외 기타 종이 및 판지 제품 제조업 외 1 종,,고형진정제(펄프제 성형제품),3381,1207.38,36.02807453,128.83779612
61,,(주)담따프레시,김진○,경상북도 영천시 봉동 810-2번지 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,054-336-6203,"채소가공품, 육류가공품, 채소가공품, 육류가공품, 채소가공품, 육류가공품",8293.9,4072.66,35.92752735,128.94572618
62,,(주)대경,권성○,경상북도 영천시 금호읍 남성리 515-1번지,22222,설치용 및 위생용 플라스틱제품 제조업,,친환경물절약 변기절수기 외 1종,,49.33,35.90181220,128.85653977
63,,(주)대광축산,이미○,경상북도 영천시 대창면 사리리 298-1번지,29210,농업 및 임업용 기계 제조업,054-335-3667,"축산기자재(분만케이지,분만틀 등)",3524,816,35.87717194,128.87632216
64,,(주)대광티케이,고낙○,경상북도 영천시 금호읍 냉천리 73번지 외 3필지,21100,기초 의약 물질 제조업 외 2 종,054-337-0465,생분해성제품,5723,2463.33,35.92299564,128.89089834
65,,(주)대린정공,박필○,경상북도 영천시 청통면 우천리 182번지 외 1필지,30320,자동차 차체용 신품 부품 제조업 외 1 종,054-337-0173,브라켓 ,4460,1667.13,35.99358797,128.87798262
66,,(주)대봉지공,박인○,경상북도 영천시 북안면 옥천리 102-6번지,17909,그 외 기타 종이 및 판지 제품 제조업,054-0336-3321,지관,15008,3296.09,35.89695502,129.01251548
67,,(주)대산테크,전상○,경상북도 영천시 고경면 상덕리 289-12번지,25112,구조용 금속 판제품 및 공작물 제조업,054-335-9012,"금속판재, 스틸파렛트 등",5805,1982.8,36.00478207,129.07406138
68,,(주)대성앤텍,오정○,경상북도 영천시 대창면 사리리 595-1 외 3필지,29250,음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,,"음료제조기계,스프레이드라이어",4629,1711.22,35.87899014,128.86961945
69,,(주)대아에스엔에스,손원○,경상북도 영천시 신녕면 완전리 700-9번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,054-335-9395,"플라스틱, 섬유재생원료",7359,1751.95,36.03716321,128.79501802
70,,(주)대열레미콘,김홍○,경상북도 영천시 북안면 유하리 56-1번지,23322,레미콘 제조업,054-336-6010,레미콘,7060,963.16,35.93522501,128.97614779
71,,(주)대영산업,정군○,경상북도 영천시 고경면 삼포리 964번지,23993,비금속광물 분쇄물 생산업,054-337-8828,골재,59402,8379.9,36.01585615,129.10063414
72,,(주)대원엔비폴,권창○,경상북도 영천시 대창면 사리리 105-4번지,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,054-462-0005,난연스치로폼,7514,4234.65,35.88062064,128.88417805
73,,(주)대일피앤에스,서창○,경상북도 영천시 대창면 사리리 491번지,17223,식품 위생용 종이 상자 및 용기 제조업,054-333-4600,"미트패드, 미트페이퍼",3415,1220.9,35.88086014,128.87077943
74,,(주)대청산업,정수○,경상북도 영천시 고경면 청정리 215-1번지,25929,그 외 기타 금속가공업,054-336-3264,금속가공품,1524,490,35.98484182,129.10794192
75,,(주)대한이피씨,전주○,경상북도 영천시 북안면 도천리 629-1번지,29133,"탭, 밸브 및 유사장치 제조업",054-336-0235,맨홀및 상하수도 용품,2291,800.89,35.89566443,129.01271181
76,,(주)대한이피씨(제2공장),전주○,경상북도 영천시 북안면 옥천리 105번지 외 2필지,24131,주철관 제조업,054-0336-0235,"수도이형관,배브형상",1418,366,35.89603479,129.01256173
77,,(주)대호,조태○,경상북도 영천시 대창면 사리리 291 외 1필지,32029,기타 목재가구 제조업,054-337-2450,가구,5587,1293.32,35.87632275,128.87582895
78,,(주)대호,조태○,경상북도 영천시 대창면 사리리 291번지 외 1필지,32029,기타 목재가구 제조업,054-336-0047,"가구, 인테리어",,490,35.87632275,128.87582895
79,영천북안농공단지,(주)대호스틸,박은○,경상북도 영천시 북안면 반정리 150-5번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",054-701-1552,알루미늄 알출제품,7338,2674.98,35.93069224,128.99774020
80,,(주)대화,권수○,경상북도 영천시 대창면 사리리 694-1번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-332-8634,소음기부분품,4356,1730.49,35.87284741,128.86538738
81,,(주)더블루,이태○,경상북도 영천시 금호읍 남성리 515-1 대구대학교 창업보육센터2호관 1307호,20312,복합비료 및 기타 화학비료 제조업,054-462-9006,미네랄 및 미생물 비료,,66.138,35.90181220,128.85653977
82,,(주)더블유티피,신동○,경상북도 영천시 대창면 사리리 480,30399,그 외 자동차용 신품 부품 제조업,,자동차 부품,3304,1171,35.88242820,128.87020244
83,영천본촌농공단지,(주)더조은,김양○,경상북도 영천시 본촌동 443,29176,액체 여과기 제조업 외 8 종,054-331-9990,"액체여과기 , 컨베이어, 기타 물품 취급장비, 탭밸브, 금속문, 액체펌프, 송풍기, 기체여과기, 열교환기",3277.3,1569.94,35.91861427,128.94946885
84,,(주)덕성,김제○,경상북도 영천시 채신동 588번지 외 1필지,24213,"연 및 아연 제련, 정련 및 합금 제조업",054-336-4341,희황산,5073,1529.75,35.91464056,128.95101391
85,,(주)데쉬,김영○,경상북도 영천시 화산면 연계리 556-1,25913,자동차용 금속 압형제품 제조업,054-332-6800,자동차용 부품,7513,1536,36.02898977,128.83747000
86,,(주)도건,유도○,경상북도 영천시 대창면 사리리 447-7,23911,건설용 석제품 제조업,053-791-5235,고밀도 시멘트판넬 및 세라믹단열판넬,2600,493.2,35.88193091,128.87297710
87,,(주)도광,이재○,경상북도 영천시 작산동 204-1번지 외 1필지,28111,전동기 및 발전기 제조업 외 2 종,054-726-0229,산업기계부품,4482,1747,35.94107370,128.95273269
88,,(주)도투락,이종○,경상북도 영천시 화산면 유성리 816번지,11209,기타 비알코올 음료 제조업,054-335-9811,"음료, 건강식품",1703,528.66,36.02438779,128.85673400
89,,(주)동명,남명○,경상북도 영천시 조교동 825-3 번지,20312,복합비료 및 기타 화학비료 제조업,054-337-5808,제2종 복합비료,1349,603.6,35.97089027,128.95540575
90,,(주)동부아디아,이철○,경상북도 영천시 대창면 신광리 746번지,25112,구조용 금속 판제품 및 공작물 제조업,054-338-1100,샌드위치판넬,7853,3298.34,35.86181134,128.91865356
91,,(주)동산,전상○,경상북도 영천시 대창면 사리리 23-1번지 외 1필지,10901,반려동물용 사료 제조업 외 7 종,054-336-9090,"사료, 퇴비,배양제(미생물탈취제)",4545,1438.36,35.88444500,128.87152078
92,,(주)동산,전상○,경상북도 영천시 대창면 사리리 23-3번지,13225,직물포대 제조업,,PP포대,3063,1626.95,,
93,,(주)동서,권중○,경상북도 영천시 채신동 152-10번지 외 2필지,29176,액체 여과기 제조업 외 3 종,054-337-8170,"원심분리기,산화세륨재생",5156,1383.4,35.90602028,128.95292961
94,,(주)동서농수산,지현○,경상북도 영천시 임고면 매호리 861-5번지 외 1필지,10519,기타 곡물 가공품 제조업 외 1 종,,간식용 견과류 식품,4959,844.8,36.00373549,128.96314594
95,,(주)동서산업롤,곽재○,경상북도 영천시 화남면 금호리 1042-6,29199,그 외 기타 일반목적용 기계 제조업 외 1 종,041-552-0907,특수 목적용 기계,,440,36.07163903,128.90395496
96,,(주)동서철강,"고은○,장인○",경상북도 영천시 대창면 사리리 189-18번지,24199,그 외 기타 1차 철강 제조업,,철근임가공품,5000,1982.25,35.87527509,128.88282711
97,,(주)동양엠티(지점),이문○,경상북도 영천시 북안면 내포리 107-1번지,29223,금속 절삭기계 제조업,054-335-5387,금형부품 치공구,9574,1806.42,35.93163809,129.00553874
98,,(주)동유식품,정용○,경상북도 영천시 청통면 애련리 415-1번지 외 1필지,10412,식물성 유지 제조업 외 1 종,054-336-7277,"참기름, 고추",5887,1996.73,36.00190363,128.79376636
99,,(주)동은,우재○,경상북도 영천시 금호읍 삼호리 155번지 외 2필지,22212,플라스틱 필름 제조업 외 1 종,054-336-0336,PE필름,9656,3217.08,35.91519327,128.88114257
100,,(주)동일,박승○,경상북도 영천시 대창면 사리리 38번지,13103,화학섬유 방적업,054-335-6591,재생섬유(솜),3874,989.98,35.88459434,128.87344657
101,영천북안농공단지,(주)동주피앤지,조병○,경상북도 영천시 북안면 반정리 150-2번지,22299,그 외 기타 플라스틱 제품 제조업,054-338-9670,산업용 플라스틱제품,19778,9430.12,35.93097893,128.99638824
102,,(주)동진산업,이지○,경상북도 영천시 오수동 412-2번지 외 3필지,30399,그 외 자동차용 신품 부품 제조업,054-333-1990,브라켓,3202,1550.57,35.95334113,128.91739959
103,,(주)동현섬유,김복○,경상북도 영천시 북안면 송포리 338-1번지 외 5필지,13104,연사 및 가공사 제조업,054-336-2213,임직,4454,1922.5,35.94237492,128.97872932
104,,(주)두원스틸,이원○,경상북도 영천시 대창면 사리리 산 40번지,25113,육상 금속 골조 구조재 제조업 외 1 종,053-745-1800,조립구조재,9323,3010.57,35.88216589,128.87450267
105,,(주)드림텍,송인○,경상북도 영천시 채신동 595-7번지,20131,무기안료용 금속 산화물 및 관련 제품 제조업 외 1 종,054-338-0277,"염화제2철, 기초무기화합물",2342,936.2,35.91309998,128.95057704
106,,(주)디앤케이,김창○,경상북도 영천시 봉동 810번지,20422,"치약, 비누 및 기타 세제 제조업 외 1 종",054-335-0965,"탈묵제, 중금속처리제",1985,984,35.92797488,128.94599332
107,,(주)디에스프레스,심경○,경상북도 영천시 금호읍 삼호리 86-4번지,25929,그 외 기타 금속가공업,054-337-2067,"산업용펌프,밸브등",4158,2520.84,35.91717263,128.88138695
108,,(주)디에스피씨알영천2공장,김성○,경상북도 영천시 금호읍 어은리 369-5번지 외 1필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0044,합성수지원료(CHIP),4267,3001.47,35.91395229,128.89240035
109,,(주)디에스피씨알영천공장,김성○,경상북도 영천시 금호읍 오계리 56-5번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0044,엔지니어링프라스틱,13794,3891,35.91442693,128.89182370
110,,(주)디에이치다한,곽윤○,경상북도 영천시 대창면 사리리 595-11,25119,기타 구조용 금속제품 제조업 외 1 종,053-322-5924,"이동식화장실, 이동식소초, 컨테이너하우스, 트레일러 화장실",,195,35.87865551,128.86979329
111,,(주)디에이치씨,김동○,경상북도 영천시 봉동 810-4번지 외 1필지,30399,그 외 자동차용 신품 부품 제조업,054-331-1011,자동차부품(실내램프류),6189.9,7969.75,35.92730810,128.94649938
112,,(주)디에이치씨,김동○,경상북도 영천시 봉동 807-3,22241,운송장비 조립용 플라스틱제품 제조업,054-331-1011,플라스틱 사출성형품,3305,1899.5,35.92802244,128.94699535
113,,(주)디저트키친영천제1공장,장세○,경상북도 영천시 대창면 강회리 454-1번지,10412,식물성 유지 제조업,054-333-8033,"참기름, 들기름",1498,305.6,35.89670329,128.88500217
114,,(주)디케이에스글로벌,양종○,경상북도 영천시 신녕면 완전리 700-4번지,25113,육상 금속 골조 구조재 제조업,054-0331-8333,"써포트, 동바리, 안전비계",6367,4058.04,36.03913585,128.79439741
115,,(주)루소,김항○,경상북도 영천시 금호읍 구암리 581번지 공장 외 5필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-336-0209,플라스틱칩,1815,1180.81,,
116,,(주)리드시스,최재○,경상북도 영천시 고경면 덕암리 8-2번지,38321,비금속류 해체 및 선별업 외 1 종,,"재생용 고무 분쇄품,재생용 소성용원료 분쇄품, 재생용 고무 분쇄품,재생용 소성용원료 분쇄품",3791,1296.55,35.99162465,129.08626296
117,,(주)리빙엔젤,송영○,경상북도 영천시 북안면 반계리 355-5 외 4필지,22299,그 외 기타 플라스틱 제품 제조업,054-336-4432,"가정 및 사무용, 주방용플라스틱 제품",2678,798.64,35.92350308,129.00307678
118,,(주)리빙엔젤,송영○,경상북도 영천시 북안면 임포리 487 번지 외 1필지,22299,그 외 기타 플라스틱 제품 제조업,054-336-4433,"플라스틱가공품(가정용,사무용,주방용)",4397,1796.75,35.92304075,129.00351175
119,영천화산농공단지,(주)리유산업,표주○,경상북도 영천시 화산면 유성리 200-8번지,13229,기타 직물제품 제조업,054-338-8818,신소재응용제품(에어매트),,1185.6,36.02014772,128.86186917
120,,(주)마린스텔라텍,김종○,경상북도 영천시 북안면 내포리 281 외 2필지,29299,그 외 기타 특수목적용 기계 제조업,,테스트용기기,,340,35.92794451,129.01532642
121,,(주)매직엘이디청통지점,남승○,경상북도 영천시 청통면 신원리 235-1,26519,비디오 및 기타 영상기기 제조업,053-964-6600,비디오 및 기타영상기기 제조업,4442,1710.36,36.02207168,128.78197634
122,,(주)명산,"김판○,우주○",경상북도 영천시 임고면 양평리 539-2번지 외 3필지,24312,강주물 주조업 외 2 종,054-331-4700,주물특수강 및 합금강,4266,1334.8,36.02813189,128.98351127
123,,(주)명산제3공장,"김판○,우주○",경상북도 영천시 임고면 양평리 533-3번지,25929,그 외 기타 금속가공업 외 2 종,054-331-4700,"철강설비부품(캡),발전터빈부품,특수밸브부품 등",1878,446.76,36.02771873,128.98417887
124,,(주)명산2공장,"김판○,우주○",경상북도 영천시 임고면 양평리 533-1번지 외 1필지,25929,그 외 기타 금속가공업 외 2 종,054-331-4700,"철강설비부품, 특수밸브부품, 발전터빈부품",2611,1674.26,36.02776437,128.98457157
125,,(주)명진,김광○,경상북도 영천시 대창면 사리리 761,30399,그 외 자동차용 신품 부품 제조업 외 1 종,,"브라켓, 루프레일, 모듈 마운틴",4238,1392,35.86967642,128.86741682
126,,(주)미건테크,전대○,경상북도 영천시 고경면 용전리 378번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,054-0337-7741,플라스틱사출 자동차부품,3721,705.36,35.98375396,129.00426677
127,영천북안농공단지,(주)미광,이태○,경상북도 영천시 북안면 반정리 150-6번지,10901,반려동물용 사료 제조업 외 4 종,054-331-8841,배합사료제조용제품,14490,9418.81,35.93154692,128.99793228
128,영천북안농공단지,(주)미광제2공장,이태○,경상북도 영천시 북안면 반정리 150-18번지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,,"유기질비료, 부산물비료",739.5,430.28,35.93111217,128.99828802
129,,(주)미광코리아,임삼○,경상북도 영천시 채신동 595-2번지,25113,육상 금속 골조 구조재 제조업 외 1 종,054-331-4997,산업기계,1688,854,35.91252737,128.95047572
130,,(주)미도정보기술,김동○,경상북도 영천시 임고면 매호리 904번지,26410,유선 통신장비 제조업 외 6 종,054-335-2028,"영상방송기기,컴퓨터주변기기,기타통신기자재 등",,41.31,36.00767462,128.96081088
131,영천화산농공단지,(주)미래공간,박수○,경상북도 영천시 화산면 유성리 200-16번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,054-331-7857,"석재조형물, 금속조형물",,324,36.02168299,128.86014350
