업종명,업소명,영업장주소(도로명),전화번호,데이터기준일자
숙박업(일반),아우름,경상북도 영천시 금완로 77 (완산동),054-335-5004,2024-06-26
숙박업(일반),미도모텔,경상북도 영천시 옛군청1길 15 (창구동),054-332-0240,2024-06-26
숙박업(일반),허니문모텔,경상북도 영천시 고경면 호국로 620 (3-5층),054-336-2264,2024-06-26
숙박업(일반),소풍,경상북도 영천시 금완로 82 (완산동),054-338-6789,2024-06-26
숙박업(일반),카라모텔,경상북도 영천시 오수5길 80 (오수동),054-337-3082,2024-06-26
숙박업(일반),더자라모텔,경상북도 영천시 북안면 운북로 1932,054-336-6266,2024-06-26
숙박업(일반),엠텔,"경상북도 영천시 송죽길 115 (도동,,128-10)",054-337-7339,2024-06-26
숙박업(일반),뉴시크릿모텔,경상북도 영천시 최무선로 259 (성내동),054-335-3367,2024-06-26
숙박업(일반),디데이 호텔,경상북도 영천시 최무선로 259 (성내동),054-335-3367,2024-06-26
숙박업(일반),예스모텔,경상북도 영천시 완산중앙8길 14 (완산동),054-338-0555,2024-06-26
숙박업(일반),쇼모텔,"경상북도 영천시 역전로 42-1 (완산동, 외 7필지(900-9,-19,901-2,-5,-6,-16,1086-27))",,2024-06-26
숙박업(일반),궁모텔,경상북도 영천시 금호읍 금호로 66-1 (66-3),054-332-5001,2024-06-26
숙박업(일반),카라,경상북도 영천시 청통면 계포1길 15-1,054-338-3338,2024-06-26
숙박업(일반),펠리체모텔,경상북도 영천시 청통면 한티길 330,,2024-06-26
숙박업(일반),꽃보다무인텔,경상북도 영천시 금완로 6 (금노동),054-927-0007,2024-06-26
숙박업(일반),칸모텔,경상북도 영천시 역전로 42-2 (완산동),054-334-0000,2024-06-26
숙박업(일반),포시즌모텔,경상북도 영천시 최무선로 293 (창구동),054-927-0111,2024-06-26
숙박업(일반),썸모텔,경상북도 영천시 오수1길 44 (오수동),054-337-1111,2024-06-26
숙박업(일반),장원 모텔,경상북도 영천시 청통면 계포1길 15,,2024-06-26
숙박업(일반),한울모텔,경상북도 영천시 청통면 한티길 199,,2024-06-26
숙박업(일반),리버무인텔,경상북도 영천시 유봉길 22 (오수동),054-338-9400,2024-06-26
숙박업(일반),한울,경상북도 영천시 청통면 한티길 195,,2024-06-26
숙박업(일반),새코리아나모텔,경상북도 영천시 화남면 천문로 1914,054-335-4657,2024-06-26
숙박업(일반),씨엘호텔,경상북도 영천시 옛군청4길 14-4 (문내동),054-333-1000,2024-06-26
숙박업(일반),나인틴스,경상북도 영천시 임고면 맘실길 30,054-331-0019,2024-06-26
숙박업(일반),욜로모텔,경상북도 영천시 청통면 계포1길 44,,2024-06-26
숙박업(일반),더베스트호텔,경상북도 영천시 금완로 84 (완산동),054-333-3368,2024-06-26
숙박업(일반),농업회사법인(주)아우노펠리스,경상북도 영천시 상신기길 150 (언하동),,2024-06-26
숙박업(일반),향수장여관,"경상북도 영천시 시장3길 10-5, 1,2층 (완산동)",,2024-06-26
숙박업(일반),별무인모텔,경상북도 영천시 청통면 애련길 28-21,,2024-06-26
숙박업(생활),별빛테마마을 펜션동,경상북도 영천시 화북면 정각길 22,054-330-6445,2024-06-26
숙박업(생활),영천보현산별빛테마마을 본관동,경상북도 영천시 화북면 정각길 22,054-330-6444,2024-06-26

